id,airport_ref,airport_ident,length_ft,width_ft,surface
236419,4667,MHTJ,3515,95,Asphalt
249732,22016,MI03,10000,4000,Water
268050,22021,MI08,60,60,Concrete
268051,22021,MI08,60,60,Concrete
268053,22027,MI14,60,60,Concrete
268056,22045,MI32,60,60,Concrete
268057,22047,MI34,75,75,Concrete
268059,22053,MI40,44,40,Concrete
257108,22054,MI41,2700,40,Concrete
268060,22055,MI42,62,40,Concrete
268065,22070,MI57,16,16,Concrete
253292,22073,MI60,1320,150,Grass
268067,22074,MI61,40,40,Concrete
268072,22079,MI69,80,80,Concrete
268073,22084,MI74,30,30,Concrete
268074,22088,MI79,180,180,Concrete
268076,22093,MI85,100,100,Concrete
268077,22097,MI90,30,30,Concrete
237247,4679,MKBS,3000,75,Asphalt
237245,4680,MKJP,8900,150,Asphalt
237248,4681,MKJS,8735,150,Asphalt
237246,4682,MKKJ,3412,76,Asphalt
237249,4683,MKTP,4300,110,Asphalt
237589,4685,ML-0001,4946,98,Laterite
237646,4864,MM10,4660,85,Asphalt
237648,4865,MM11,5104,46,Asphalt
237650,4866,MM12,4565,30,Asphalt
237651,4867,MM13,6035,65,Asphalt
237652,4868,MM14,3390,40,Asphalt
237656,4870,MM16,6900,65,Asphalt
237657,4871,MM17,3075,44,Asphalt
237658,4872,MM20,4090,50,Asphalt
237660,4873,MM21,3370,37,Asphalt
237665,4874,MM22,6775,70,Asphalt
237666,4875,MM23,3834,98,Asphalt
237670,4876,MM25,5000,65,Asphalt
237677,4878,MM27,4595,66,Concrete
237678,4879,MM28,4235,80,Concrete
237679,4880,MM29,3155,65,Asphalt
237685,4881,MM30,4340,32,Asphalt
237686,4882,MM31,4640,56,Asphalt
237687,4883,MM32,6598,148,Asphalt
319586,313720,MM35,5250,60,Asphalt
237690,4884,MM36,5265,70,Asphalt
237692,4885,MM37,6710,68,Asphalt
237693,4886,MM38,5074,34,Asphalt
237696,4887,MM39,3300,65,Asphalt
237698,4888,MM41,7612,150,Asphalt
237699,4889,MM42,3997,63,Asphalt
237701,4890,MM44,3400,31,Asphalt
237706,4892,MM47,5510,75,Asphalt
237707,4893,MM48,5000,98,Asphalt
237713,4895,MM50,3894,48,Asphalt
237714,4896,MM51,4193,32,Asphalt
237719,4897,MM52,6460,80,Asphalt
237720,4898,MM53,5142,33,Asphalt
237723,4899,MM54,4100,50,Asphalt
